ID,1
Type,UI
Summary,"Incorrect color of stars on completed levels in the ""Summer"" company"
Severity,Low
Priority,High
Pre-condition,--
Description,"When viewing the level selection screen in the Summer campaign window, all completed levels, instead of correctly filling in the stars received for completing the level, display three empty (black) stars."
Steps to reproduce,"1. Open Main Menu
2. Select ""Campaign""
3. Select ""Summer""
4. Select level
5. Complete level
6. Return to level selection window"
Expected result,The color (quantity) of stars received per level is displayed correctly
Actual result,"Incorrect color of stars on completed levels in the ""Summer"" campaign"
Attachment,1
Environment,Samsung Galaxy A55
Created by,Yevhen D.
