ID,1,2,3,4,5,6,7,8,9,10
Type,Functional,Functional,Stability,Functional,Functional,UI,UI,Functional,UX,Potential Bug
Summary,Некоректна ціна підписки за рік новому користувачу / основна ціна (959.99 / 1649.99 за рік),Неможливо відкрити згенерований QR з довгою адресою,Краш при зміні теми (очистка кешу),Не працює QR для будильника,Некоректний редірект при завантаженні,"Debug-повідомлення (""qr_ads_banner_open"", ""..."") у спливаючому полі","Проблеми з UI (перетинання елементів, наїзд ліній на іконки)",При скануванні фото з багатьма QR зчитується лише перший,"Поле ""Write to support"" пропонує занадто багато опцій","""Share to friends"" – некоректний текст у посиланні (""oleh"")"
Severity,Blocker,Critical,Critical,Critical,High,Medium,Medium,Low,Low,Low
Priority,High,High,High,High,Medium,High,Medium,Low,Low,Trivial
Pre-condition,Перший вхід користувача у додаток,Згенерований QR-код в розділі URL / Link з довгою адресою (більше +- 800 символів),--,Згенерований QR-код для будильника,--,--,Перший вхід користувача у додаток,Є скриншот на якому присутні декілька QR-кодів,--,--
Description,"При першому вході у застосунок після навчання пропонується 3-денний тріал, по завершенню якого річна підписка коштує 959.99.
Річна підписка після завершення навчання коштує 1649.99.","При генеруванні QR-коду в розділі URL / Link з довгою адресою (більше +- 800 символів) створюється код, який неможливо відкрити у застосунку використовуючи функцію читання QR-кодів з галереї","При зміні теми у застосунку застосунок закривається, якщо повторити процедуру, виникає помилка застосунку","При спробі відкрити QR-код будильнику використовуючи функцію читання QR-кодів з галереї не виконується перехід у застосунок ""Будильник""","При переході у розділи ""Privacy Policy"", ""Terms of Use"", ""Our site"" надає посилання на завантаження у GooglePlay",Під час користування застосунком під час будь-якої дії виникають Debug-повідомлення,На екрані тріалу та преміум підписки елементи перекривають один одного,"При спробі зчитати QR-код зі скриншоту з декількома кодами, використовуючи функцію читання QR-кодів з галереї зчитується лише перший","При переході у розділ ""Write to support"" надається багато не валідних варіантів","Під час перевірки посилання на додаток у Google Play звернув увагу на частину""oleh"" у applicationId. Потрібно уточнити, чи це очікувана назва , або потенційна помилка."
Steps to reproduce,"1. Відкрити застосунок
2. Пройти навчання","1. Відкрити вікно обирання фото з галереї
2. Відкрити використовуючи зчитувач QR-кодів потрібний код","1. Натиснути кнопку ""Settings""
2. Обрати розділ ""Themes""
3. Обрати будь-яку доступну тему
4. Для відображення помилки, повторити кроки 1-3","1. Відкрити вікно обирання фото з галереї
2. Відкрити використовуючи зчитувач QR-кодів потрібний код","1. Натиснути кнопку ""Settings""
2.1. Обрати розділ ""Privacy Policy""
2.2. Обрати розділ ""Terms of Use""
2.3. Обрати розділ ""Our site""
3. Перейти за посиланням яке надається",1. Зайти у застосунок,"1. Відкрити застосунок
2.1. Пройти навчання
2.2. Перейти в розділ купівлі підписки","1. Відкрити вікно обирання фото з галереї
2. Відкрити використовуючи зчитувач QR-кодів потрібний скриншот","1. Натиснути кнопку ""Settings""
2. Обрати розділ ""Write to support""","1. Натиснути кнопку ""Settings""
2. Обрати розділ ""Share to friends""
3. Скопіювати посилання"
Expected result,Ціна після навчання відповідає основній ціні у застосунку,"Відображенні всі кнопки (Open, Copy, Share, ...) та ними можна користуватись","Тема була зміненна, застосунок продовжив свою роботу","Після натискання на кнопку ""Open"" відбується перехід в застосунок ""Будильник""",Кожне посилання напрявляє на відповідну сторінку,Debug-повідомлення не відображається під час користування застосунком,Елементи відображенні коректно та не перекривають інші елементи,"Дає можливість обрати QR-код;
Надає всі посилання",Мають відображатись першими у списку валідні та актуальні способи зв'язку,Адреса має бути коректна та відповідати заявленим нормам у документації
Actual result,Ціна після навчання відрізняється від основної ціні у застосунку,Через довгу адресу поле з кнопками було перенесено за робочу зону,Застосунок закривається та виникає помилка,"Після натискання на кнопку ""Open"" не відбувається перехід в застосунок ""Будильник""",Всі посилання посилаються на сторінку застосунку в GooglePlay,Debug-повідомлення виникає під час будь-якої дії в застосунку,Елементи знаходяться не у вірній позиції та перекривають один одного,Відкривається лише перший QR-код,"Відображаються ""Bluetooth"",""Календар"", ""Перекладач"", ...","Є частинка ""oleg"" у applicationId"
Attachment ,"1, 2",1,1,1,1,"1, 2, 3","1, 2",1,1,1
Environment,Samsung Galaxy A55,Samsung Galaxy A55,Samsung Galaxy A55,Samsung Galaxy A55,Samsung Galaxy A55,Samsung Galaxy A55,Samsung Galaxy A55,Samsung Galaxy A55,Samsung Galaxy A55,Samsung Galaxy A55
Created by,Yevhen D.,Yevhen D.,Yevhen D.,Yevhen D.,Yevhen D.,Yevhen D.,Yevhen D.,Yevhen D.,Yevhen D.,Yevhen D.
